ID,名称,化学式,类别,化学性质,物理性质
1,氧气,O₂,单质（非金属）,"常温下化学性质活泼，能与大多数金属和非金属反应，支持燃烧，例如与铁生成Fe₃O₄，与碳生成CO₂。液态和固态呈淡蓝色。","无色无味气体，密度1.429 g/L（标准状况），熔点-218.4℃，沸点-183℃，难溶于水，可液化为淡蓝色液体。"
2,氢气,H₂,单质（非金属）,"可燃性极强，与氧气混合点燃爆炸，还原性强，可还原金属氧化物如CuO。高温下与氮气反应生成氨气。","无色无味气体，密度0.0899 g/L（最轻气体），熔点-259.2℃，沸点-252.8℃，难溶于水。"
3,氮气,N₂,单质（非金属）,"化学性质稳定，常温下难与其他物质反应，高温下可与锂、镁等金属化合。用于合成氨和防腐保护气。","无色无味气体，密度1.25 g/L，熔点-210℃，沸点-195.8℃，微溶于水。"
4,金刚石,C,单质（非金属）,"化学性质稳定，高温下燃烧生成CO₂。不导电，耐强酸强碱腐蚀，但可被熔融硝酸钾氧化。","天然最硬物质，无色透明晶体，折射率高，密度3.51 g/cm³，熔点3550℃，不导电。"
5,硫磺,S,单质（非金属）,"可燃，燃烧生成SO₂；与铁等金属加热生成硫化物（如FeS）。可被浓硫酸氧化为SO₂。","黄色晶体或粉末，密度2.07 g/cm³，熔点115.2℃，沸点444.6℃，易升华，不溶于水。"
6,铁,Fe,单质（金属）,"潮湿空气中易氧化生成Fe₂O₃（铁锈）；与稀酸反应生成Fe²⁺盐和H₂，高温下与Cl₂生成FeCl₃。","银白色金属，密度7.87 g/cm³，熔点1538℃，延展性强，导电导热性好。"
7,铜,Cu,单质（金属）,"潮湿环境中与CO₂、O₂反应生成Cu₂(OH)₂CO₃（铜绿）；高温下与硫生成CuS。与浓硫酸加热反应生成SO₂。","紫红色金属，密度8.96 g/cm³，熔点1083℃，导电性仅次于银。"
8,汞,Hg,单质（金属）,"常温下与氧气缓慢生成HgO，加热分解。与硫粉研磨生成HgS。不与非氧化性酸反应。","银白色液态金属，密度13.534 g/cm³，熔点-38.8℃，易挥发，有毒。"
9,石墨,C,单质（非金属）,"高温下燃烧生成CO₂；与浓硝酸等强氧化剂反应被氧化。可作还原剂参与某些化学反应。","灰黑色不透明固体，质软滑腻，密度2.25 g/cm³，导电导热，耐高温。"
10,磷,P,单质（非金属）,"燃点高（约260℃），燃烧生成P₂O₅；与Cl₂加热生成PCl₃或PCl₅。毒性较低。","暗红色粉末，无金属光泽，密度2.34 g/cm³，不溶于水，易燃但较稳定。"
11,水,H₂O,氧化物,"与金属钠反应生成NaOH和H₂；电解分解为H₂和O₂。作为溶剂参与水解等反应。","无色透明液体，密度1 g/cm³，熔点0℃，沸点100℃，比热容高，能形成氢键。"
12,二氧化碳,CO₂,氧化物,"不支持燃烧，与水反应生成H₂CO₃；与碱性氧化物（如CaO）生成CaCO₃。","无色气体，密度1.977 g/L，可液化为无色液体，固态称干冰，微溶于水。"
13,氧化钙,CaO,氧化物,"与水剧烈反应生成Ca(OH)₂并放热；与酸反应生成钙盐。用作干燥剂。","白色块状或粉末，密度3.35 g/cm³，熔点2572℃，易吸湿，具腐蚀性。"
14,氧化铁,Fe₂O₃,氧化物,"与酸反应生成Fe³⁺盐（如FeCl₃）；高温下被CO还原为Fe。用作红色颜料。","红棕色粉末，密度5.24 g/cm³，熔点1565℃，不溶于水，磁性弱。"
15,四氧化三铁,Fe₃O₄,氧化物,"与酸反应生成Fe²⁺和Fe³⁺混合盐；高温下可被H₂还原为Fe。具有磁性。","黑色晶体，密度5.17 g/cm³，熔点1597℃，导电性良好，不溶于水。"
16,二氧化硫,SO₂,氧化物,"与水生成H₂SO₃；可被O₂氧化为SO₃（催化剂存在下）。具漂白性（与有机色素结合）。","无色刺激性气体，密度2.927 g/L，易液化（-10℃），溶于水生成亚硫酸。"
17,五氧化二磷,P₂O₅,氧化物,"强干燥剂，与水剧烈反应生成H₃PO₄；与碱反应生成磷酸盐。","白色粉末状固体，密度2.39 g/cm³，340℃升华，吸湿性极强。"
18,氧化铝,Al₂O₃,氧化物,"两性氧化物，与强酸生成Al³⁺盐，与强碱生成AlO₂⁻。熔点高，用作耐火材料。","白色固体，密度3.97 g/cm³，熔点2072℃，硬度高（莫氏9级），不溶于水。"
19,氧化铜,CuO,氧化物,"与稀酸反应生成Cu²⁺盐（如CuSO₄）；高温下被H₂或CO还原为Cu。","黑色粉末，密度6.31 g/cm³，熔点1326℃，不溶于水，可溶于氨水。"
20,二氧化锰,MnO₂,氧化物,"催化H₂O₂分解；与浓盐酸加热生成Cl₂。在干电池中作去极化剂。","黑色或棕黑色固体，密度5.026 g/cm³，不溶于水，难溶于稀酸。"
21,盐酸,HCl,酸,"强酸性，能与金属反应生成氢气（如与锌反应：Zn + 2HCl → ZnCl₂ + H₂↑），与碱发生中和反应（如NaOH + HCl → NaCl + H₂O），可溶解金属氧化物（如Fe₂O₃ + 6HCl → 2FeCl₃ + 3H₂O）。浓盐酸具有挥发性，释放刺激性HCl气体。","无色透明液体，具有强烈刺激性气味，易挥发。密度约1.18 g/cm³，沸点-85°C，可与水以任意比例混溶，浓盐酸浓度通常为36%~38%。"
22,硫酸,H₂SO₄,酸,"强酸且强氧化性，浓硫酸具有脱水性（如使蔗糖碳化）和吸水性（作干燥剂）。与金属反应时，浓硫酸常温下使铁钝化，加热时生成SO₂（如Cu + 2H₂SO₄(浓) → CuSO₄ + SO₂↑ + 2H₂O）。稀硫酸与金属反应生成H₂（如Fe + H₂SO₄ → FeSO₄ + H₂↑）。","浓硫酸为无色油状粘稠液体，密度1.84 g/cm³，沸点337°C，难挥发。易溶于水并释放大量热，储存时需防潮。"
23,硝酸,HNO₃,酸,"强酸和强氧化剂，与金属反应一般不生成H₂而生成NO₃⁻还原产物（如Cu与浓HNO₃反应生成NO₂，稀HNO₃生成NO）。常温下使铝、铁钝化。能与有机物发生硝化反应（如制TNT）。","纯硝酸为无色液体，工业硝酸因溶有NO₂呈黄色。密度1.51 g/cm³，沸点83°C，有刺激性气味，易挥发，浓度一般为68%。"
24,碳酸,H₂CO₃,酸,"弱酸，易分解为CO₂和H₂O（H₂CO₃ ⇌ CO₂↑ + H₂O）。与碱反应生成碳酸盐（如Ca(OH)₂ + H₂CO₃ → CaCO₃↓ + 2H₂O）。能使紫色石蕊试液变红，但酸性弱于醋酸。","仅存在于水溶液中，无法单独存在。水溶液呈弱酸性，常温下不稳定，加热加速分解。"
25,醋酸,CH₃COOH,酸,"弱酸，能与碳酸盐反应生成CO₂（如2CH₃COOH + Na₂CO₃ → 2CH₃COONa + CO₂↑ + H₂O）。可发生酯化反应（如与乙醇生成乙酸乙酯）。","无色透明液体，有强烈醋味，熔点16.6°C，沸点118°C，密度1.05 g/cm³。易溶于水及乙醇，纯醋酸在低温下结晶（称冰醋酸）。"
26,磷酸,H₃PO₄,酸,"中强酸，可形成三种盐（如NaH₂PO₄、Na₂HPO₄、Na₃PO₄）。高温下脱水生成焦磷酸。与金属氧化物反应（如3ZnO + 2H₃PO₄ → Zn₃(PO₄)₂ + 3H₂O）。","无色透明晶体或粘稠液体，无臭，密度1.88 g/cm³，熔点42.4°C。易潮解，与水混溶，市售浓度通常为85%。"
27,亚硫酸,H₂SO₃,酸,"弱酸，易分解为SO₂和H₂O（H₂SO₃ ⇌ SO₂↑ + H₂O）。具有还原性，可被氧化为硫酸（如H₂SO₃ + Cl₂ + H₂O → H₂SO₄ + 2HCl）。","仅存在于水溶液中，不稳定。水溶液呈弱酸性，长时间放置会因氧化而变质。"
28,氢硫酸,H₂S,酸,"弱酸，具有强还原性，易被O₂氧化为S或SO₄²⁻（如2H₂S + O₂ → 2S↓ + 2H₂O）。与重金属离子生成硫化物沉淀（如Cu²⁺ + H₂S → CuS↓ + 2H⁺）。","无色气体，有臭鸡蛋气味，密度大于空气，熔点-82.9°C，沸点-60.3°C。微溶于水，水溶液呈弱酸性。"
29,硅酸,H₂SiO₃,酸,"极弱酸，酸性弱于碳酸。与强碱反应生成硅酸盐（如H₂SiO₃ + 2NaOH → Na₂SiO₃ + 2H₂O）。加热脱水生成SiO₂（H₂SiO₃ → SiO₂ + H₂O）。","白色胶状或粉末状固体，不溶于水，可通过可溶性硅酸盐与酸反应制得（如Na₂SiO₃ + 2HCl → 2NaCl + H₂SiO₃↓）。"
30,乳酸,C₃H₆O₃,酸,"有机弱酸，含羧基和羟基，可发生酯化反应。在生物体内通过糖酵解生成，能溶解钙盐（如去除水垢）。","无色或微黄色粘稠液体，有酸味，熔点18°C，沸点122°C。与水、乙醇混溶，具有吸湿性。"
31,氢氧化钠,NaOH,碱,"强碱性，与酸中和（如HCl + NaOH → NaCl + H₂O），与酸性氧化物反应（如CO₂ + 2NaOH → Na₂CO₃ + H₂O）。可皂化油脂（制肥皂）。","白色片状或颗粒状固体，熔点318°C，沸点1388°C。易潮解并溶于水放热，有强腐蚀性，常密封保存。"
32,氢氧化钙,Ca(OH)₂,碱,"中强碱，与酸反应（如2HCl + Ca(OH)₂ → CaCl₂ + 2H₂O），与CO₂反应生成CaCO₃沉淀（用于检验CO₂）。溶解度随温度升高而降低。","白色粉末状固体，微溶于水，溶解度约0.16 g/100mL（20°C）。水溶液呈强碱性，俗称石灰水。"
33,氢氧化铝,Al(OH)₃,碱,"两性氢氧化物，既溶于强酸（Al(OH)₃ + 3HCl → AlCl₃ + 3H₂O）又溶于强碱（Al(OH)₃ + NaOH → NaAlO₂ + 2H₂O）。加热分解为Al₂O₃和H₂O。","白色胶状沉淀，无定形固体，不溶于水。密度2.42 g/cm³，在300°C时脱水生成氧化铝。"
34,氨水,NH₃·H₂O,碱,"弱碱性，部分电离为NH₄⁺和OH⁻（NH₃·H₂O ⇌ NH₄⁺ + OH⁻）。与酸反应生成铵盐（如HCl + NH₃·H₂O → NH₄Cl + H₂O）。易挥发释放NH₃气体。","无色透明液体，有刺激性氨味，密度小于水（约0.91 g/cm³）。浓度越高挥发性越强，通常市售浓度为25%~28%。"
35,氢氧化铁,Fe(OH)₃,碱,"弱碱性，与酸反应生成Fe³⁺盐（如Fe(OH)₃ + 3HCl → FeCl₃ + 3H₂O）。受热分解为Fe₂O₃（2Fe(OH)₃ → Fe₂O₃ + 3H₂O）。","红褐色絮状沉淀，不溶于水，密度3.4 g/cm³。新鲜沉淀可溶于强酸，久置后脱水变为氧化铁。"
36,氢氧化亚铁,Fe(OH)₂,碱,"弱碱性，极易被氧化（4Fe(OH)₂ + O₂ + 2H₂O → 4Fe(OH)₃）。与酸反应生成Fe²⁺盐（如Fe(OH)₂ + 2HCl → FeCl₂ + 2H₂O）。","白色絮状沉淀，不溶于水，在空气中迅速变为灰绿色，最终转化为红褐色Fe(OH)₃。"
